corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
teop	iar	0001	#	#	##	##				
teop	iar	0001	Bara	alright	other	other				
teop	iar	0002	#	#	##	##				
teop	iar	0002	Enaa	1SG.PRON	pro.1:dt_poss	pro	1	dt_poss		
teop	iar	0002	a	ART2.SG	ln	ln				
teop	iar	0002	hena	name-	np:s  	np		s  		
teop	iar	0002	-naa	-1SG.PRON	-pro.1:poss	-pro	1	poss		
teop	iar	0002	e	ART1	ln	ln				
teop	iar	0002	Ruth Iarabee	Ruth Iarabee	np:pred	np		pred		
teop	iar	0003	#	#	##	##				
teop	iar	0003	Enaa	1SG.PRON	pro.1:a	pro	1	a		
teop	iar	0003	kahi	TAM1	lv	lv				
teop	iar	0003	vahutate	tell	v:pred	v		pred		
teop	iar	0003	nom	1SG.IPFV	rv-pro.1:a	rv-pro	1	a		
teop	iar	0004	o	ART3.SG	ln	ln				
teop	iar	0004	vahutate	story	np:p	np		p		
teop	iar	0004	te	PREP	rn_adp=	rn_adp=				
teop	iar	0004	=a	ART2.SG	=rn	=rn				
teop	iar	0004	moon	girl	rn_np.h	rn_np	h			
teop	iar	0004	#	#	##	##				
teop	iar	0004	a	ART2.SG	ln	ln				
teop	iar	0004	hena-na	name-3SG.POSS=	np:s-pro.h:poss	np		s-pro.h:poss		
teop	iar	0004	=e	3SG.PRON	=pro.h:poss	=pro	h	poss		
teop	iar	0004	Taguone	Taguone	np:pred	np		pred		
teop	iar	0005	#	#	##	##				
teop	iar	0005	a	ART2.SG	ln	ln				
teop	iar	0005	hena	name	np:s	np		s		
teop	iar	0005	n=	3SG.POSS=	rn_pro.h:poss=	rn_pro	h	poss=		
teop	iar	0005	a	ART2.SG	rn	rn				
teop	iar	0005	moon	girl	rn_np.h:poss	rn_np	h	poss		
teop	iar	0005	vai	DEM6	rn	rn				
teop	iar	0005	te	PREP	rn_adp=	rn_adp=				
teop	iar	0005	=o	=ART3.SG	=rn	=rn				
teop	iar	0005	vahutate	story	rn_np	rn_np				
teop	iar	0005	vai	DEM6	rn	rn				
teop	iar	0005	e	ART1	ln	ln				
teop	iar	0005	Taguone	Taguone	np:pred	np		pred		
teop	iar	0006	#	#	##	##				
teop	iar	0006	Erau	so	other	other				
teop	iar	0006	bara	alright	other	other				
teop	iar	0007	e	ART1	ln	ln				
teop	iar	0007	Taguone	Taguone	np.h:s	np	h	s		
teop	iar	0007	na	TAM2	lv	lv				
teop	iar	0007	aba	person	v:pred	v		pred		
teop	iar	0007	roho	before	other	other				
teop	iar	0008	#	#	##	##				
teop	iar	0008	evehee	but	other	other				
teop	iar	0008	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	iar	0008	o	ART3.SG	ln	ln				
teop	iar	0008	si	DIM	ln	ln				
teop	iar	0008	taba	thing	np:pred	np		pred		
teop	iar	0008	koa	only	other	other				
teop	iar	0009	#	#	##	##				
teop	iar	0009	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	iar	0009	o	ART3.SG	ln	ln				
teop	iar	0009	si	DIM	ln	ln				
teop	iar	0009	ta	piece	np:pred	np		pred		
teop	iar	0009	vasu	stone	rn	rn				
teop	iar	0010	#	#	##	##				
teop	iar	0010	enam	1PL.EX.PRON	pl_pro.1:a	pl_pro	1	a		
teop	iar	0010	na	TAM2	lv	lv				
teop	iar	0010	ius	use	v:pred	v		pred		
teop	iar	0010	ni	APPL	rv	rv				
teop	iar	0010	nom	1PL.EX.IPFV	rv_-pl_pro.1:a	rv_-pl_pro	1	a		
teop	iar	0010	ee	3SG.PRON	pro:p	pro		p		
teop	iar	0011	#cc	#cc	#cc	#cc				
