corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
teop	sii	0001	#	#	#	#				
teop	sii	0001	nabunuu	in.the.past	other	other				
teop	sii	0001	a	ART2.SG	ln	ln				
teop	sii	0001	peha	one.A	ln	ln				
teop	sii	0001	roosuu	giant	np.h:s	np	h	s		
teop	sii	0001	na	TAM2	lv	lv				
teop	sii	0001	tei-tei	RED-be	v:pred	v		pred		
teop	sii	0001	roho	before	rv	rv				
teop	sii	0002	#	#	##	##				
teop	sii	0002	a	ART2.SG	ln	ln				
teop	sii	0002	roosuu	giant	np.h:a	np	h	a		
teop	sii	0002	bona	ANA	rn	rn				
teop	sii	0002	na	TAM2	lv	lv				
teop	sii	0002	antee	can	v:pred	v		pred		
teop	sii	0002	nana	{3SG.IPFV}	rv-pro.h:a	rv-pro	h	a		
teop	sii	0002	#cc	#cc	#cc:p	#cc		p		
teop	sii	0002	tea	COMP1	other	other				
teop	sii	0002	ta-verete	ACAUS-change	vother:pred	vother		pred		
teop	sii	0003	oraa	spirit	rv_np	rv_np				
teop	sii	0003	#		#nc	#nc				
teop	sii	0003	ge	or	x	x				
teop	sii	0003	ta-verete	ACAUS-change	x	x				
teop	sii	0003	kuruu	snake	x	x				
teop	sii	0003	ge	or	x	x				
teop	sii	0003	ta-verete	ACAUS-change	x	x				
teop	sii	0003	toa	chicken	x	x				
teop	sii	0004	#		##	##				
teop	sii	0004	ge	or	other	other				
teop	sii	0004	a	ART2.SG	ln	ln				
teop	sii	0004	maamihu	every	ln	ln				
teop	sii	0004	kaen	kind	ln	ln				
teop	sii	0004	naovana	animal	np:pred	np		pred		
teop	sii	0004	vai	DEM6	rn	rn				
teop	sii	0005	#rc	#rc	rn_#rc	rn_#rc				
teop	sii	0005	to	REL	rel_pro:s	rel_pro		s		
teop	sii	0005	hiri	crawl	v:pred	v		pred		
teop	sii	0005	rori	{.IPFV}	rv-pl_pro:s	rv-pl_pro		s		
teop	sii	0005	te	PREP	adp	adp				
teop	sii	0005	=o	=ART3.SG	=ln	=ln				
teop	sii	0005	kasuana	ground	np:l	np		l		
teop	sii	0006	#	#	##	##				
teop	sii	0006	a	ART2.SG	ln	ln				
teop	sii	0006	oraa	spirit	np.h:a	np	h	a		
teop	sii	0006	bona	ANA	rn	rn				
teop	sii	0006	ve	PTCL2	rn	rn				
teop	sii	0006	na	TAM2	lv	lv				
teop	sii	0006	antee	can	v:pred	v		pred		
teop	sii	0006	nana	{3SG.IPFV}	rv-pro.h:a	rv-pro	h	a		
teop	sii	0006	#cc	#cc	#cc:p	#cc		p		
teop	sii	0006	tea	COMP1	other	other				
teop	sii	0006	ta-verete	ACAUS-change	vother:pred	vother		pred		
teop	sii	0006	potee	like	rv	rv				
teop	sii	0007	bona	OBJ.ART2.SG	ln	ln				
teop	sii	0007	taba	thing	np:p	np		p		
teop	sii	0007	vai	DEM6	rn	rn				
teop	sii	0007	#rc	#rc	rn_#rc	rn_#rc				
teop	sii	0007	to	REL	rel_pro:g	rel_pro		g		
teop	sii	0007	rake	want	v:pred	v		pred		
teop	sii	0007	na=	{3SG.IPFV}=	rv-pro.h:a	rv-pro	h	a		
teop	sii	0007	=e	=3SG.PRON	=pro.h:a	=pro	h	a		
teop	sii	0007	#cc	#cc	#cc:p	#cc		p		
teop	sii	0007	be	COMP2	other	other				
teop	sii	0007	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	sii	0007	ta-verete	ACAUS-change	v:pred	v		pred		
teop	sii	0007	vo	like	rv	rv				
teop	sii	0007	teebona	PREP.ANA	adv_other:g	adv_other		g		
teop	sii	0008	#	#	##	##				
teop	sii	0008	Me	and4	other	other				
teop	sii	0008	te	PREP	adp	adp				
teop	sii	0008	=o	=ART3.SG	=ln	=ln				
teop	sii	0008	peho	INDEF.O	ln	ln				
teop	sii	0008	bon	day	np:other	np		other		
teop	sii	0009	me=	and4=	other=	other=				
teop	sii	0009	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	sii	0009	paa	TAM3	lv	lv				
teop	sii	0009	nomaa	come	v:pred	v		pred		
teop	sii	0009	#	#	##	##				
teop	sii	0009	me=	and4=	other=	other=				
teop	sii	0009	ZERO	3SG.ZERO	0.h:a	0	h	a		
teop	sii	0009	paa	TAM3	lv	lv				
teop	sii	0009	ma	come	v:pred	v		pred		
teop	sii	0009	vurahe	find	rv	rv				
teop	sii	0009	=ri	={.OBJM}	=rn_pl_pro.h:p	=rn_pl_pro	h	p		
teop	sii	0009	bona	OBJ.ART2.SG	ln	ln				
teop	sii	0009	tobara	group	pl_np.h:p	pl_np	h	p		
teop	sii	0009	otei	man	rn	rn				
teop	sii	0009	#ac	#ac	#ac	#ac				
teop	sii	0009	eori	3PL.PRON	pl_pro.h:s	pl_pro	h	s		
teop	sii	0009	he	but	other	other				
teop	sii	0009	hio	sit	v:pred	v		pred		
teop	sii	0009	kasuana	beach	np:l	np		l		
teop	sii	0010	#	#	##	##				
teop	sii	0010	evehee	but	other	other				
teop	sii	0010	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	sii	0010	aba	person	v:pred	v		pred		
teop	sii	0010	maa	hither	rv	rv				
teop	sii	0010	#	#	#	#				
teop	sii	0010	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	sii	0010	ta-verete	ACAUS-change	v:pred	v		pred		
teop	sii	0010	aba	person	rv	rv				
teop	sii	0010	maa.	hither.	rv	rv				
teop	sii	0011	#	#	#	#				
teop	sii	0011	me=	and4	other=	other=				
teop	sii	0011	ZERO	3SG.ZERO	0.h:s_ds	0	h	s_ds		
teop	sii	0011	paa	TAM3	lv	lv				
teop	sii	0011	ma	come	v:pred	v		pred		
teop	sii	0011	sue	say	rv	rv				
teop	sii	0011	#ds	#ds	##ds	##ds				
teop	sii	0011	Eh!	Eh!	other	other				
teop	sii	0011	Tabae	what	int_np:pred	int_np		pred		
teop	sii	0011	#ds	#ds.rc	##ds_rc:s	##ds_rc		s		
teop	sii	0011	to	REL	rel_pro:p	rel_pro		p		
teop	sii	0011	paku	make	v:pred	v		pred		
teop	sii	0011	nom=	{2PL.IPFV}=	rv-pl_pro.2:a	rv-pl_pro	2	a		
teop	sii	0011	eam	2PL.PRON	pl_pro.2:a	pl_pro	2	a		
teop	sii	0012	#ds	#ds	##ds	##ds				
teop	sii	0012	Ahiki	not.exist	other:pred	other		pred		
teop	sii	0012	#ds	#ds	##ds	##ds				
teop	sii	0012	enam	1PL.EX.PRON	pl_pro.1:s	pl_pro	1	s		
teop	sii	0012	na	TAM2	lv	lv				
teop	sii	0012	hio	sit	v:pred	v		pred		
