corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
teop	viv	0001	#	#	##	##				
teop	viv	0001	te	PREP	adp	adp				
teop	viv	0001	=o	=ART3.SG	=ln	=ln				
teop	viv	0001	peho	INDEF.O	ln	ln				
teop	viv	0001	vuri	time	np:other	np		other		
teop	viv	0001	a	ART2.SG	ln	ln				
teop	viv	0001	peha	INDEF.A	ln	ln				
teop	viv	0001	otei	man	np.h:s	np	h	s		
teop	viv	0001	na	TAM2	lv	lv				
teop	viv	0001	tei-tei	RED-stay	v:pred	v		pred		
teop	viv	0001	roho	before	rv	rv				
teop	viv	0002	#	#	##	##				
teop	viv	0002	evehe	but	other	other				
teop	viv	0002	a	ART2.SG	ln	ln				
teop	viv	0002	si	DIM	ln	ln				
teop	viv	0002	otei	man	np.h:s	np	h	s		
teop	viv	0002	bona	ANA	rn	rn				
teop	viv	0002	a	ART2.SG	ln	ln				
teop	viv	0002	si	DIM	ln	ln				
teop	viv	0002	pii-pii	RED-sore	np.h:pred	np	h	pred		
teop	viv	0003	#	#	##	##				
teop	viv	0003	Evehe	but	other	other				
teop	viv	0003	te	PREP	adp	adp				
teop	viv	0003	=a	=ART2.SG	=ln	=ln				
teop	viv	0003	maamihu	every	ln	ln				
teop	viv	0003	nubunubu	morning	np:other	np		other		
teop	viv	0004	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	viv	0004	na	TAM2	lv	lv				
teop	viv	0004	nao	go	v:pred	v		pred		
teop	viv	0004	nana	3SG.IPFV	rv-pro.h:s	rv-pro	h	s		
teop	viv	0004	ruene	river	np:g	np		g		
teop	viv	0004	#cc	#cc	#cc:g	#cc		g		
teop	viv	0004	tea	COMP1	other	other				
teop	viv	0004	sisibu	bathe	vother:pred	vother		pred		
teop	viv	0005	#		##	##				
teop	viv	0005	#ac	#ac	#ac	#ac				
teop	viv	0005	Me	and4	other	other				
teop	viv	0005	be	if|when	other	other				
teop	viv	0005	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	viv	0005	nao	go	v:pred	v		pred		
teop	viv	0005	ruene	river	np:g	np		g		
teop	viv	0005	#cc:	#cc	#cc:g	#cc		g		
teop	viv	0005	tea	COMP1	other	other				
teop	viv	0005	sisibu	bathe	vother:pred	vother		pred		
teop	viv	0005	#	#	%	%				
teop	viv	0005	o-re=	3PRON-CONSEC=	pro.h:s-other=	pro	h	s-other=		
teop	viv	0005	paa	TAM3	lv	lv				
teop	viv	0005	no	thither	v:pred	v		pred		
teop	viv	0005	goroho	sleep	rv	rv				
teop	viv	0005	te	PREP	adp	adp				
teop	viv	0005	=a	=ART2.SG	=ln	=ln				
teop	viv	0005	peha	INDEF.A	ln	ln				
teop	viv	0005	vasu	stone	np:other	np		other		
teop	viv	0006	#	#	##	##				
teop	viv	0006	a	ART2.SG	ln	ln				
teop	viv	0006	vasu	stone	np:s	np		s		
teop	viv	0006	bona	ANA	rn	rn				
teop	viv	0006	he	but	other	other				
teop	viv	0006	na	TAM2	lv	lv				
teop	viv	0006	tei	stay	v:pred	v		pred		
teop	viv	0006	nana	3SG.IPFV	rv-pro:s	rv-pro		s		
teop	viv	0006	te	PREP	adp	adp				
teop	viv	0006	=o	=ART3.SG	=ln	=ln				
teop	viv	0006	varirovana	middle	np:l	np		l		
teop	viv	0006	n=	3SG.POSS	rn_pro:poss=	rn_pro		poss=		
teop	viv	0006	a	ART2.SG	rn	rn				
teop	viv	0006	ruene	river	rn_np:poss	rn_np		poss		
teop	viv	0007			nc	nc				
teop	viv	0008	Me							
teop	viv	0008	-							
teop	viv	0009	PAUSE							
teop	viv	0010	#	#	##	##				
teop	viv	0010	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	viv	0010	paku-paku	RED-do	v:pred	v		pred		
teop	viv	0010	tamuana	always	rv	rv				
teop	viv	0010	vo	like	rv	rv				
teop	viv	0011	teebona	PREP.ANA	other	other				
teop	viv	0011	te	PREP	adp	adp				
teop	viv	0011	=a	=ART2.SG	=ln	=ln				
teop	viv	0011	maamihu	every	ln	ln				
teop	viv	0011	bon	day	np:other	np		other		
teop	viv	0012	#	#	##	##				
teop	viv	0012	Maamihu	every	ln	ln				
teop	viv	0012	bon	day	np:other	np		other		
teop	viv	0012	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	viv	0012	toro	must	lv	lv				
teop	viv	0012	gunaha	go.down	v:pred	v		pred		
teop	viv	0012	nana	3SG.IPFV	rv-pro.h:s	rv-pro	h	s		
teop	viv	0012	ruene	river	np:g	np		g		
teop	viv	0013	te	PREP	adp	adp				
teop	viv	0013	=a	=ART2.SG	=ln	=ln				
teop	viv	0013	nubunubu	morning	np:other	np		other		
teop	viv	0014	#	#	##	##				
teop	viv	0014	o-re	3PRON-CONSEC	pro.h:s-other	pro	h	s-other		
teop	viv	0014	paa	TAM3	lv	lv				
teop	viv	0014	no	thither	v:pred	v		pred		
teop	viv	0014	goroho	sleep	rv	rv				
teop	viv	0014	nana	3SG.IPFV	rv-pro.h:s	rv-pro	h	s		
teop	viv	0014	te	PREP	adp	adp				
teop	viv	0014	=a	=ART2.SG	=ln	=ln				
teop	viv	0014	vasu	stone	np:other	np		other		
teop	viv	0014	bona	ANA	rn	rn				
teop	viv	0014	#ac	#ac	#ac	#ac				
teop	viv	0014	be	if|when	other	other				
teop	viv	0014	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	viv	0014	va-ro-roava	MULT-RED-sun	v:pred	v		pred		
teop	viv	0014	nana	3SG.IPFV	rv-pro.h:s	rv-pro	h	s		
teop	viv	0015	#	#	##	##				
teop	viv	0015	A	ART2.SG	ln	ln				
teop	viv	0015	vasu	stone	np:a	np		a		
teop	viv	0015	bona	ANA	rn	rn				
teop	viv	0015	me	also	other	other				
teop	viv	0015	na	TAM2	lv	lv				
teop	viv	0015	tii	be	v:pred	v		pred		
teop	viv	0015	va-totobin	va-exact	rv	rv				
teop	viv	0015	nao=	thither	rv	rv				
teop	viv	0015	na	=3SG.IPFV	rv-pro:a	rv-pro		a		
teop	viv	0015	bono	OBJ.ART3.SG	ln	ln				
teop	viv	0015	hum	place	np:p	np		p		
teop	viv	0015	vai	DEM6	rn	rn				
teop	viv	0016	#rc	#rc	#rc	#rc				
teop	viv	0016	to	REL	rel_pro:other	rel_pro		other		
teop	viv	0016	nana	warm	v:pred	v		pred		
teop	viv	0016	maa	hither	rv	rv				
teop	viv	0016	=na	=3SG.IPFV	=rv-pro:a	=rv-pro		a		
teop	viv	0016	ZERO	4SG1.ZERO	0.h:p	0	h	p		
teop	viv	0016	a	ART2.SG	ln	ln				
teop	viv	0016	roava	sun	np:a	np		a		
teop	viv	0017			nc	nc				
teop	viv	0018	#	#	##	##				
teop	viv	0018	M=	and4=	other=	other=				
teop	viv	0018	erau	so	other	other				
teop	viv	0019	te	PREP	adp	adp				
teop	viv	0019	=a	=ART2.SG	=ln	=ln				
teop	viv	0019	peha	INDEF.A	ln	ln				
teop	viv	0019	bon	night	np:other	np		other		
teop	viv	0020	me	and4	other	other				
teop	viv	0020	=a	=ART2.SG	=ln	=ln				
teop	viv	0020	peha	INDEF.A	ln	ln				
teop	viv	0020	bua	two.A	ln	ln				
teop	viv	0020	otei	man	pl_np.h:s	pl_np	h	s		
teop	viv	0020	paa	TAM3	lv	lv				
teop	viv	0020	kao	go	v:pred	v		pred		
teop	viv	0020	gunaha	go.down	rv	rv				
teop	viv	0020	nao	thither	rv	rv				
teop	viv	0020	roho	before	rv	rv				
teop	viv	0020	ruene	river	np:g	np		g		
teop	viv	0021	#	#	##	##				
teop	viv	0021	ZERO	3PL.ZERO	pl_0.h:s	pl_0	h	s		
teop	viv	0021	A	ART2.SG	ln	ln				
teop	viv	0021	bua	two.A	ln	ln				
teop	viv	0021	roosuu	giant	pl_np.h:pred	pl_np	h	pred		
teop	viv	0021	#	#	##	##				
teop	viv	0021	a	ART2.SG	ln	ln				
teop	viv	0021	meha	other.A	np.h:s	np	h	s		
teop	viv	0021	a	ART2.SG	ln	ln				
teop	viv	0021	mata	eye	ln	ln				
teop	viv	0021	kehoo	blind	ap_other:pred	ap_other		pred		
teop	viv	0021	#	#	##	##				
teop	viv	0021	a	ART2.SG	ln	ln				
teop	viv	0021	meha	other.A	np.h:s	np	h	s		
teop	viv	0021	a	ART2.SG	ln	ln				
teop	viv	0021	ihu	nose	ap_other:pred	ap_other		pred		
teop	viv	0021	govaa	eaten.away.by.sores	rn	rn				
teop	viv	0022	PAUSE		nc	nc				
teop	viv	0023	#	#	##	##				
teop	viv	0023	me=	and4=	other=	other=				
teop	viv	0023	ori	3PL.PRON	pl_pro.h:a	pl_pro	h	a		
teop	viv	0023	paa	TAM3	lv	lv				
teop	viv	0023	no	thither	v:pred	v		pred		
teop	viv	0023	tara	see	rv	rv				
teop	viv	0023	bona	OBJ.ART2.SG	ln	ln				
teop	viv	0023	si	DIM	ln	ln				
teop	viv	0023	otei	man	np.h:p	np	h	p		
teop	viv	0023	bona	ANA	rn	rn				
teop	viv	0023	#	#	##	##				
teop	viv	0023	eve	3SG.PRON	pro.h:s	pro	h	s		
teop	viv	0023	he	but	other	other				
teop	viv	0023	goroho	sleep	v:pred	v		pred		
teop	viv	0023	nana	3SG.IPFV	rv-pro.h:s	rv-pro	h	s		
teop	viv	0023	te	PREP	adp	adp				
teop	viv	0023	=a	=ART2.SG	=ln	=ln				
teop	viv	0023	vasu	stone	np:other	np		other		
teop	viv	0024	#	#	##	##				
teop	viv	0024	me	and4	other	other				
teop	viv	0024	=a	=ART2.SG	=ln	=ln				
teop	viv	0024	peha	INDEF.A	np.h:s_ds	np	h	s_ds		
teop	viv	0024	paa	TAM3	lv	lv				
teop	viv	0024	sue	say	v:pred	v		pred		
teop	viv	0025	#ds	#ds	##ds	##ds				
teop	viv	0025	Eh	Eh	other	other				
teop	viv	0025	eara	1PL.IN.PRON	pl_pro.1:s	pl_pro	1	s		
teop	viv	0025	kahi	TAM1	lv	lv				
teop	viv	0026	nomaa	come	v:pred	v		pred		
teop	viv	0026	vahaa	back	rv	rv				
teop	viv	0026	#ds	#ds	##ds	##ds				
teop	viv	0026	eara	1PL.IN.PRON	pl_pro.1:a	pl_pro	1	a		
teop	viv	0026	paa	TAM3	lv	lv				
teop	viv	0026	ma	come	v:pred	v		pred		
teop	viv	0026	dee	carry	rv	rv				
teop	viv	0026	a	ART2.SG	ln	ln				
teop	viv	0026	otei	man	np.h:p	np	h	p		
teop	viv	0026	#ac	#ac	#ac	#ac				
teop	viv	0026	be	if|when	other	other				
teop	viv	0026	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	viv	0026	peana	busy	v:pred	v		pred		
teop	viv	0026	goroho	sleep	rv	rv				
teop	viv	0026	nana=	3SG.IPFV=	rv-pro.h:s	rv-pro	h	s		
teop	viv	0026	i	DEM1	dem_other	dem_other				
teop	viv	0027			nc	nc				
teop	viv	0028	#	#	##	##				
teop	viv	0028	Me	and4	other	other				
teop	viv	0029	erau	so	other	other				
teop	viv	0029	me=	and4=	other=	other=				
teop	viv	0029	ori	3PL.PRON	pl_pro.h:s	pl_pro	h	s		
teop	viv	0029	paa	TAM3	lv	lv				
teop	viv	0029	nao	go	v:pred	v		pred		
teop	viv	0029	vahaa	back	rv	rv				
teop	viv	0029	a	ART2.SG	ln	ln				
teop	viv	0029	bua	two.A	ln	ln				
teop	viv	0029	otei	man	pl_np.h:dt_s	pl_np	h	dt_s		
teop	viv	0029	bari	ANA.PL	rn	rn				
teop	viv	0030	#	#	##	##				
teop	viv	0030	Meha	other.A	ln	ln				
teop	viv	0030	nubunubu	morning	np:other	np		other		
teop	viv	0030	me=	and4=	other=	other=				
teop	viv	0030	ori	3PL.PRON	pl_pro.h:s	pl_pro	h	s		
teop	viv	0030	paa	TAM3	lv	lv				
teop	viv	0030	kao	go	v:pred	v		pred		
teop	viv	0030	gunaha	go.down	rv	rv				
teop	viv	0030	bana	again	rv	rv				
teop	viv	0030	vo	GOAL	rv	rv				
teop	viv	0030	maa	hither	rv	rv				
teop	viv	0030	ruene	river	np:g	np		g		
teop	viv	0031	#	#	##	##				
teop	viv	0031	nubunubu	morning	np:other	np		other		
teop	viv	0031	me=	and4=	other=	other=				
teop	viv	0031	ori	3PL.PRON	pl_pro.h:s	pl_pro	h	s		
teop	viv	0031	paa	TAM3	lv	lv				
teop	viv	0031	kao	go	v:pred	v		pred		
teop	viv	0031	gunaha	go.down	rv	rv				
teop	viv	0031	bana	again	rv	rv				
teop	viv	0031	maa	hither	rv	rv				
teop	viv	0031	ruene	river	np:g	np		g		
teop	viv	0032	#	#	##	##				
teop	viv	0032	me	and4	other	other				
teop	viv	0032	=a	=ART2.SG	=ln	=ln				
teop	viv	0032	si	DIM	ln	ln				
teop	viv	0032	otei	man	np.h:s	np	h	s		
teop	viv	0032	vai	DEM6	rn	rn				
teop	viv	0032	paa	TAM3	lv	lv				
teop	viv	0032	nao	go	v:pred	v		pred		
teop	viv	0032	bana	again	rv	rv				
teop	viv	0032	#cc	#cc	#cc:g	#cc		g		
teop	viv	0032	tea	COMP1	other	other				
teop	viv	0032	goroho	sleep	vother:pred	vother		pred		
teop	viv	0032	te	PREP	adp	adp				
teop	viv	0032	=a	=ART2.SG	=ln	=ln				
teop	viv	0032	vasu	stone.	np:l	np		l		
teop	viv	0033	#	#	##	##				
teop	viv	0033	Evehee	but	other	other				
teop	viv	0033	a	ART2.SG	ln	ln				
teop	viv	0033	maamihu	every	ln	ln				
teop	viv	0033	vuri	time	np:other	np		other		
teop	viv	0033	vai	DEM6	rn	rn				
teop	viv	0033	#rc	#rc	rn_#rc	rn_#rc				
teop	viv	0033	to	REL	rel_pro.h:s	rel_pro	h	s		
teop	viv	0033	nomaa	come	v:pred	v		pred		
teop	viv	0033	=na	=3SG.IPFV=	=rv-pro.h:s	=rv-pro	h	s		
teop	viv	0033	=e	=3SG.PRON	=pro.h:s	=pro	h	s		
teop	viv	0033	#cc	#cc	#cc:g	#cc		g		
teop	viv	0033	tea	COMP1	other	other				
teop	viv	0033	sisibu	bathe	vother:pred	vother		pred		
teop	viv	0033	%	%	%	%				
teop	viv	0033	a=	ART2.SG=	ln=	ln=				
teop	viv	0033	maa	PLM	ln	ln				
teop	viv	0033	vahara	little.PL	ln	ln				
teop	viv	0033	beiko	child	pl_np.h:s	pl_np	h	s		
teop	viv	0033	mee	also	other	other				
teop	viv	0033	na	TAM2	lv	lv				
teop	viv	0033	nomaa	come	v:pred	v		pred		
teop	viv	0033	rori	3PL.IPFV	rv-pl_pro.h:s	rv-pl_pro	h	s		
teop	viv	0033	#cc	#cc	#cc:g	#cc		g		
teop	viv	0033	tea	COMP1	other	other				
teop	viv	0033	sisibu	bathe.	vother:pred	vother		pred		
teop	viv	0034	#ac	#ac	#ac	#ac				
teop	viv	0034	Me	and4	other	other				
teop	viv	0034	be=	if|when=	other=	other=				
teop	viv	0034	ori	3PL.PRON	pl_pro.h:a	pl_pro	h	a		
teop	viv	0034	tara	see	v:pred	v		pred		
teop	viv	0034	#cc	#cc	#cc:p	#cc		p		
teop	viv	0034	be=	COMP2	other=	other=				
teop	viv	0034	a	ART2.SG	ln	ln				
teop	viv	0034	sahata	poor.man	np.h:s	np	h	s		
teop	viv	0034	vai	DEM6	rn	rn				
teop	viv	0034	goroho	sleep	v:pred	v		pred		
teop	viv	0034	nana	3SG.IPFV	rv-pro.h:s	rv-pro	h	s		
teop	viv	0034	te	PREP	adp	adp				
teop	viv	0034	=a	=ART2.SG	=n	=n				
teop	viv	0034	vasu	stone	np:other	np		other		
teop	viv	0035	##		##	##				
teop	viv	0035	ZERO	3SG.ZERO	0.h:s	0	h	s		
teop	viv	0035	a	ART2.SG	ln	ln				
teop	viv	0035	pii-pii	RED-sore	ap_other:pred	ap_other		pred		
teop	viv	0035	#		##	##				
teop	viv	0035	ZERO		0.h:s	0	h	s		
teop	viv	0035	a	ART2.SG	ln	ln				
teop	viv	0035	pii-pii-ana	RED-full.of.sores	ap_other:pred	ap_other		pred		
teop	viv	0036	eve							
teop	viv	0036	repaa							
teop	viv	0036	-							
teop	viv	0037	#	#	##	##				
teop	viv	0037	eori	3PL.PRON	pl_pro.h:a	pl_pro	h	a		
teop	viv	0037	re=	CONSEC=	other=	other=				
teop	viv	0037	paa	TAM3	lv	lv				
teop	viv	0037	kao	go	v:pred	v		pred		
teop	viv	0037	geve	turning.away.from	rv	rv				
teop	viv	0037	bari	4SG2.PRON	pro.h:p	pro	h	p		
teop	viv	0037	#	#	##	##				
teop	viv	0037	ei	DEM2	other	other				
teop	viv	0037	kou	PTCL3	other	other				
teop	viv	0038	ZERO	3PL.ZERO	pl_0.h:a	pl_0	h	a		
teop	viv	0038	sa	NEG	lv	lv				
teop	viv	0038	rake	want	v:pred	v		pred		
teop	viv	0038	bata	along	rv	rv				
teop	viv	0038	haa	NEG	rv	rv				
teop	viv	0038	=ri	=3PL.IPFV	=rv-pl_pro.h:a	=rv-pl_pro	h	a		
teop	viv	0038	#cc	#cc	#cc:p	#cc		p		
teop	viv	0038	tea	COMP1	other	other				
teop	viv	0038	sisibu	bathe	vother:pred	vother		pred		
teop	viv	0039	rihi-n=	near-3SG.POSS=	np:l-pro:poss	np		l-pro:poss		
teop	viv	0039	a	ART2.SG	rn	rn				
teop	viv	0039	bona	OBJ.ART2.SG	rn	rn				
teop	viv	0039	otei	man	rn_np.h:poss	rn_np	h	poss		
teop	viv	0039	vai	DEM6	rn	rn				
teop	viv	0039	a	ART2.SG	rn	rn				
teop	viv	0039	pii-pii	RED-sore	rn	rn				
teop	viv	0040			nc	nc				
teop	viv	0041	#	#	##	##				
teop	viv	0041	Me	and4	other	other				
